Symbol,endscore,average Scores,Fitness,SG_score,Relativ Risk
FCOM,0.9421,0.8016,1.3331999999999999,90.15897200000001,0.16785700000000001
DLS,0.9461,0.9574,0.952338000000000,87.09553699999999,0.0973110000000000
HEFA,0.9011,0.8695,0.7999010000000000,59.75467200000000,0.22088099999999999
AIRR,0.9215,0.8678,1.4281189999999999,51.127276999999999,0.2778650000000000
DVYE,0.947,0.9332,1.081006000000000,14.727308000000001,0.10326800000000000
FDRR,0.863,0.8468,0.8689540000000000,12.142783000000000,0.24857199999999999
DNL,0.9558,0.9405,1.0804830000000001,10.609209000000000,0.15133700000000000
EWK,0.9505,0.9543,1.110629000000000,9.421474999999999,0.05294800000000000
ACSI,0.9207,0.8547,1.051519000000000,8.518238000000000,0.21118400000000001
FYC,0.9434,0.8995,1.4797860000000000,8.457553000000001,0.16176900000000000
FXG,0.8733,0.9158,0.832478000000000,7.7393799999999997,0.1498010000000000
BSCP,0.8541,0.9112,0.1708920000000000,7.703100000000000,0.3679990000000000
BLV,0.9693,0.9354,0.8693480000000000,7.001243000000000,0.044193999999999997
DBB,0.9616,0.9565,1.2898270000000001,6.504439000000000,0.11155200000000000
EQWL,0.9193,0.951,0.9073590000000000,6.253855000000000,0.2997010000000000
FBT,0.9061,0.9641,1.3317670000000,5.564755000000000,0.0758550000000000
FEZ,0.917,0.9476,1.2485839999999999,5.408914000000000,0.11186900000000000
GSLC,0.9229,0.9061,0.997941000000000,5.294103000000000,0.2737650000000000
CUT,0.9268,0.9449,1.1098269999999999,4.548935000000000,0.1106380000000000
BBH,0.9565,0.9669,1.3769510000000000,4.505965000000000,0.04949600000000000
DGP,0.9602,0.94,2.100632000000000,4.437490000000000,0.13708600000000001
FTEC,0.9578,0.838,1.4749909999999999,4.282099000000000,0.30668600000000001
BSV,0.9759,0.8315,0.16523900000000000,4.276032000000000,0.18821900000000000
DTRE,0.9378,0.8756,1.1421950000000001,3.988663000000000,0.04130300000000000
DWM,0.9276,0.9337,0.908052000000000,3.830206000000000,0.11666700000000001
DGRW,0.9156,0.8647,0.8307940000000000,3.6694309999999999,0.3349020000000000
DBE,0.9786,0.9226,1.8168830000000000,3.4596410000000000,0.0690120000000000
HEWJ,0.8888,0.8725,1.0778639999999999,3.3927870000000002,0.19043499999999999
EDIV,0.9505,0.9498,0.8500920000000000,3.15882700000000,0.20432000000000000
FAB,0.9068,0.9497,1.1394979999999999,2.982837000000000,0.17884400000000000
FLTB,0.8218,0.8165,0.1708480000000000,2.738662000000000,0.23297399999999999
CSM,0.9075,0.9461,1.0212300000000001,2.7208649999999999,0.2541060000000000
CZA,0.919,0.9475,0.9720850000000000,2.610222000000000,0.2201020000000000
EWA,0.936,0.9423,1.1740020000000000,2.5207609999999998,0.12441000000000001
FTQGX,0.9534,0.9603,1.2825979999999999,2.493568000000000,0.2712670000000000
FSLVX,0.9044,0.9586,0.9053890000000000,2.3944079999999999,0.2313820000000000
FVC,0.8686,0.821,1.1083710000000000,2.383142000000000,0.1407970000000000
EZU,0.9372,0.9629,1.2092449999999999,2.251037000000000,0.10351299999999999
FTC,0.9587,0.9604,1.242893000000000,2.24702400000000,0.2168580000000000
FPX,0.9695,0.9704,1.5919700000000001,2.1774420000000001,0.14155599999999999
FDLO,0.884,0.8946,0.8128700000000000,2.1537320000000002,0.28536200000000000
FBND,0.809,0.877,0.3806620000000000,2.0619260000000001,0.12958700000000001
BFOR,0.9274,0.8977,1.1705220000000001,1.9491879999999999,0.20171900000000001
FNX,0.9146,0.8926,1.2432710000000000,1.935053000000000,0.190636000000000
EZM,0.9276,0.9488,1.2437320000000001,1.931532000000000,0.17251700000000000
ENFR,0.9098,0.8783,1.2439439999999999,1.9310570000000000,0.19184000000000001
HSCZ,0.9032,0.8842,0.8304380000000000,1.8828430000000000,0.2047790000000000
EMHY,0.9181,0.8772,0.578788000000000,1.8236680000000001,0.14309800000000000
HYG,0.8693,0.878,0.4809440000000000,1.8147789999999999,0.2038790000000000
HYS,0.9322,0.8716,0.38379000000000002,1.761122000000000,0.27639700000000000
EQL,0.8938,0.9311,0.9034550000000000,1.7601920000000000,0.26810299999999998
CEMB,0.8953,0.8899,0.3733040000000000,1.7190440000000000,0.19496400000000000
DWAS,0.9453,0.8968,1.6561530000000000,1.707196000000000,0.14367500000000000
GVIP,0.9324,0.8214,1.2814360000000000,1.6120960000000000,0.20891499999999999
FTCS,0.9408,0.9636,0.8111370000000000,1.5363000000000000,0.27676699999999999
EMCB,0.8704,0.9059,0.4697920000000000,1.5016959999999999,0.1701570000000000
